id;ano;cid;qtde
760;2016;J68;2
761;2016;J69;1
762;2016;J70;6
763;2016;J70;1
764;2016;J81;2
765;2016;J81;2
766;2016;J84;1
767;2016;J84;4
768;2016;J86;1
769;2016;J86;1
770;2016;J90;2
771;2016;J90;2
772;2016;J91;1
773;2016;J92;1
774;2016;J92;28
775;2016;J93;15
776;2016;J93;1
777;2016;J93;7
778;2016;J94;7
779;2016;J94;1
780;2016;J94;6
781;2016;J95;1
782;2016;J96;5
783;2016;J96;1
784;2016;J98;8
785;2016;J98;3
786;2016;J99;1
787;2016;K00;2
788;2016;K01;32
789;2016;K01;6
790;2016;K02;10
791;2016;K03;11
792;2016;K03;8
793;2016;K04;20
794;2016;K04;5
795;2016;K05;3
796;2016;K06;15
797;2016;K06;5
798;2016;K07;18
799;2016;K07;4
800;2016;K07;6
801;2016;K08;83
802;2016;K08;18
803;2016;K09;1
804;2016;K09;1
805;2016;K10;7
806;2016;K10;3
807;2016;K11;3
808;2016;K12;1
809;2016;K13;18
810;2016;K13;4
811;2016;K14;1
812;2016;K20;1
813;2016;K21;2
814;2016;K22;2
815;2016;K22;1
816;2016;K23;1
817;2016;K25;133
818;2016;K25;5
819;2016;K25;16
820;2016;K26;41
821;2016;K26;2
822;2016;K27;32
823;2016;K27;1
824;2016;K28;34
825;2016;K28;2
826;2016;K29;6
827;2016;K30;2
828;2016;K30;1
829;2016;K30;2
830;2016;K35;4
831;2016;K35;15
832;2016;K35;2
833;2016;K37;1
834;2016;K38;1
835;2016;K40;55
836;2016;K40;77
837;2016;K40;2
838;2016;K41;1
839;2016;K41;2
840;2016;K42;20
841;2016;K42;32
842;2016;K43;6
843;2016;K43;6
844;2016;K45;2
845;2016;K45;2
846;2016;K46;6
847;2016;K46;15
848;2016;K50;1
849;2016;K51;1
850;2016;K52;21
851;2016;K52;1
852;2016;K55;2
853;2016;K56;1
854;2016;K57;1
855;2016;K58;1
856;2016;K59;2
857;2016;K60;1
858;2016;K60;1
859;2016;K61;3
860;2016;K62;3
861;2016;K62;1
862;2016;K63;3
863;2016;K63;3
864;2016;K65;1
865;2016;K66;3
866;2016;K66;2
867;2016;K66;5
868;2016;K71;1
869;2016;K73;1
870;2016;K74;1
871;2016;K76;1
872;2016;K77;1
873;2016;K80;1
874;2016;K80;5
875;2016;K81;3
876;2016;K81;5
877;2016;K82;1
878;2016;K83;2
879;2016;K85;1
880;2016;K86;2
881;2016;K91;1
882;2016;K91;1
883;2016;K92;1
884;2016;K92;3
885;2016;K92;5
886;2016;L00;1
887;2016;L01;13
888;2016;L01;2
889;2016;L02;156
890;2016;L02;11
891;2016;L02;18
892;2016;L03;117
893;2016;L03;4
894;2016;L03;7
895;2016;L05;2
896;2016;L08;85
897;2016;L08;8
898;2016;L08;11
899;2016;L11;1
900;2016;L12;2
901;2016;L13;2
902;2016;L13;1
903;2016;L14;1
904;2016;L20;18
905;2016;L20;4
906;2016;L20;1
907;2016;L23;78
908;2016;L23;64
909;2016;L24;90
910;2016;L24;21
911;2016;L24;2
912;2016;L25;60
913;2016;L25;20
914;2016;L25;1
915;2016;L26;1
916;2016;L29;5
917;2016;L29;1
918;2016;L30;37
919;2016;L30;5
920;2016;L30;3
921;2016;L40;1
922;2016;L43;2
923;2016;L50;49
924;2016;L50;3
925;2016;L50;3
926;2016;L51;4
927;2016;L52;2
928;2016;L53;10
929;2016;L54;1
930;2016;L55;110
931;2016;L55;1
932;2016;L56;1
933;2016;L57;6
934;2016;L59;11
935;2016;L59;2
936;2016;L60;73
937;2016;L60;1
938;2016;L60;8
939;2016;L62;5
940;2016;L63;1
941;2016;L64;1
942;2016;L65;1
943;2016;L68;3
944;2016;L68;2
945;2016;L70;4
946;2016;L70;2
947;2016;L72;1
948;2016;L74;1
949;2016;L75;1
950;2016;L80;2
951;2016;L81;4
952;2016;L84;9
953;2016;L85;1
954;2016;L87;1
955;2016;L88;1
956;2016;L90;12
957;2016;L90;2
958;2016;L91;2
959;2016;L91;1
960;2016;L91;1
961;2016;L92;35
962;2016;L92;1
963;2016;L92;3
964;2016;L94;18
965;2016;L95;1
966;2016;L97;4
967;2016;L97;5
968;2016;L98;148
969;2016;L98;4
970;2016;L98;28
971;2016;L99;35
972;2016;L99;2
973;2016;M00;13
974;2016;M00;1
975;2016;M01;2
976;2016;M02;3
977;2016;M02;3
978;2016;M05;1
979;2016;M05;2
980;2016;M05;1
981;2016;M06;10
982;2016;M06;2
983;2016;M06;3
984;2016;M07;5
985;2016;M09;1
986;2016;M09;1
987;2016;M10;7
988;2016;M10;1
989;2016;M11;3
990;2016;M12;27
991;2016;M12;2
992;2016;M12;13
993;2016;M13;35
994;2016;M13;3
995;2016;M13;16
996;2016;M14;19
997;2016;M14;1
998;2016;M14;4
999;2016;M15;40
1000;2016;M15;12
1001;2016;M15;25
1002;2016;M16;17
1003;2016;M16;12
1004;2016;M16;5
1005;2016;M17;49
1006;2016;M17;27
1007;2016;M17;13
1008;2016;M18;3
1009;2016;M18;2
1010;2016;M18;1
1011;2016;M19;37
1012;2016;M19;31
1013;2016;M19;22
1014;2016;M20;94
1015;2016;M20;8
1016;2016;M20;13
1017;2016;M21;31
1018;2016;M21;1
1019;2016;M21;11
1020;2016;M22;90
1021;2016;M22;35
1022;2016;M22;35
1023;2016;M23;1032
1024;2016;M23;118
1025;2016;M23;390
1026;2016;M24;150
1027;2016;M24;13
1028;2016;M24;31
1029;2016;M25;3462
1030;2016;M25;106
1031;2016;M25;1638
1032;2016;M32;1
1033;2016;M32;1
1034;2016;M33;2
1035;2016;M34;4
1036;2016;M35;3
1037;2016;M35;1
1038;2016;M40;8
1039;2016;M40;2
1040;2016;M41;10
1041;2016;M41;2
1042;2016;M41;4
1043;2016;M42;7
1044;2016;M42;2
1045;2016;M42;4
1046;2016;M43;65
1047;2016;M43;10
1048;2016;M43;31
1049;2016;M45;8
1050;2016;M45;2
1051;2016;M45;3
1052;2016;M46;14
1053;2016;M46;3
1054;2016;M46;2
1055;2016;M47;10
1056;2016;M47;9
1057;2016;M47;9
1058;2016;M48;13
1059;2016;M48;12
1060;2016;M48;5
1061;2016;M49;1
1062;2016;M49;1
1063;2016;M50;68
1064;2016;M50;172
1065;2016;M50;35
1066;2016;M51;479
1067;2016;M51;767
1068;2016;M51;75
1069;2016;M53;93
1070;2016;M53;76
1071;2016;M53;28
1072;2016;M54;7974
1073;2016;M54;897
1074;2016;M54;1673
1075;2016;M60;35
1076;2016;M60;3
1077;2016;M60;13
1078;2016;M61;18
1079;2016;M61;1
1080;2016;M61;3
1081;2016;M62;1148
1082;2016;M62;17
1083;2016;M62;312
1084;2016;M63;14
1085;2016;M65;987
1086;2016;M65;1586
1087;2016;M65;285
1088;2016;M66;122
1089;2016;M66;26
1090;2016;M66;37
1091;2016;M67;58
1092;2016;M67;21
1093;2016;M67;11
1094;2016;M68;19
1095;2016;M68;6
1096;2016;M68;6
1097;2016;M70;96
1098;2016;M70;92
1099;2016;M70;23
1100;2016;M71;42
1101;2016;M71;68
1102;2016;M71;5
1103;2016;M72;19
1104;2016;M72;34
